patch	chromosome
HSCHR19KIR_HG2393_CTG3_1	19
HSCHR19KIR_HG2394_CTG3_1	19
HSCHR19KIR_HG2396_CTG3_1	19
HSCHR19KIR_LUCE_A_HAP_CTG3_1	19
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	19
HSCHR19KIR_RP5_B_HAP_CTG3_1	19
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	19
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	19
HSCHR19LRC_COX1_CTG1	19
HSCHR19LRC_COX1_CTG3_1	19
HSCHR19LRC_COX2_CTG1	19
HSCHR19LRC_COX2_CTG3_1	19
HSCHR19LRC_LRC_I_CTG1	19
HSCHR19LRC_LRC_I_CTG3_1	19
HSCHR19LRC_LRC_J_CTG1	19
HSCHR19LRC_LRC_S_CTG1	19
HSCHR19LRC_LRC_T_CTG1	19
HSCHR19LRC_LRC_T_CTG3_1	19
HSCHR19LRC_PGF1_CTG1	19
HSCHR19LRC_PGF1_CTG3_1	19
HSCHR19LRC_PGF2_CTG1	19
HSCHR19LRC_PGF2_CTG3_1	19
HSCHR2_1_CTG1	2
HSCHR2_1_CTG12	2
HSCHR2_2_CTG12	2
HSCHR2_6_CTG7_2	2
HSCHR2_7_CTG7_2	2
HSCHR2_8_CTG7_2	2
HSCHR20_1_CTG1	20
HSCHR21_1_CTG1_1	21
HSCHR21_2_CTG1_1	21
HSCHR21_3_CTG1_1	21
HSCHR21_4_CTG1_1	21
HSCHR22_1_CTG1	22
HSCHR22_1_CTG2	22
HSCHR22_1_CTG7	22
HSCHR22_2_CTG1	22
HSCHR22_4_CTG1	22
HSCHR22_5_CTG1	22
HSCHR22_6_CTG1	22
HSCHR22_7_CTG1	22
HSCHR22_8_CTG1	22
HSCHR3_1_CTG1	3
HSCHR3_1_CTG2_1	3
HSCHR3_4_CTG1	3
HSCHR3_5_CTG1	3
HSCHR3_6_CTG2_1	3
HSCHR3_7_CTG2_1	3
HSCHR3_8_CTG2_1	3
HSCHR3_9_CTG2_1	3
HSCHR4_1_CTG12	4
HSCHR4_1_CTG6	4
HSCHR4_11_CTG12	4
HSCHR4_12_CTG12	4
HSCHR4_2_CTG4	4
HSCHR4_2_CTG9	4
HSCHR4_8_CTG12	4
HSCHR4_9_CTG12	4
HSCHR5_1_CTG1	5
HSCHR5_1_CTG2	5
HSCHR5_1_CTG5	5
HSCHR5_2_CTG1	5
HSCHR5_2_CTG1_1	5
HSCHR5_3_CTG1	5
HSCHR5_7_CTG1	5
HSCHR5_8_CTG1	5
HSCHR5_9_CTG1	5
HSCHR6_1_CTG10	6
HSCHR6_1_CTG5	6
HSCHR6_2_CTG5	6
HSCHR6_MHC_APD	6
HSCHR6_MHC_APD_CTG1	6
HSCHR6_MHC_COX	6
HSCHR6_MHC_COX_CTG1	6
