id|entrez_gene_id|hugo_symbol
487|619|BCYRN1P1
488|620|BCYRN1P2
489|622|BDH1
490|623|BDKRB1
491|624|BDKRB2
492|627|BDNF
493|629|CFB
494|631|BFSP1
495|632|BGLAP
496|633|BGN
497|634|CEACAM1
498|635|BHMT
499|636|BICD1
500|637|BID
501|638|BIK
502|639|PRDM1
503|640|BLK
504|641|BLM
505|642|BLMH
506|643|CXCR5
507|644|BLVRA
508|645|BLVRB
509|646|BNC1
510|648|BMI1
511|649|BMP1
512|650|BMP2
513|651|BMP3
514|652|BMP4
515|653|BMP5
516|654|BMP6
517|655|BMP7
518|656|BMP8B
519|657|BMPR1A
520|658|BMPR1B
521|659|BMPR2
522|660|BMX
523|661|POLR3D
524|662|BNIP1
525|663|BNIP2
526|664|BNIP3
527|665|BNIP3L
528|666|BOK
529|667|DST
530|668|FOXL2
531|669|BPGM
532|670|BPHL
533|671|BPI
534|672|BRCA1
535|673|BRAF
536|675|BRCA2
537|676|BRDT
538|677|ZFP36L1
539|678|ZFP36L2
540|680|BRS3
541|682|BSG
542|683|BST1
543|684|BST2
544|685|BTC
545|686|BTD
546|687|KLF9
547|688|KLF5
548|689|BTF3
549|690|BTF3P11
550|693|BTF3P1
551|694|BTG1
552|695|BTK
553|696|BTN1A1
554|699|BUB1
555|700|BVR1
556|701|BUB1B
557|705|BYSL
558|706|TSPO
559|708|C1QBP
560|710|SERPING1
561|711|ERC2-IT1
562|712|C1QA
563|713|C1QB
564|714|C1QC
565|715|C1R
566|716|C1S
567|717|C2
568|718|C3
569|719|C3AR1
570|720|C4A
571|721|C4B
572|722|C4BPA
573|724|C4BPAP2
574|725|C4BPB
575|726|CAPN5
576|727|C5
577|728|C5AR1
578|729|C6
579|730|C7
580|731|C8A
581|732|C8B
582|733|C8G
583|734|OSGIN2
584|735|C9
585|738|VPS51
586|740|MRPL49
587|741|ZNHIT2
588|744|MPPED2
589|745|MYRF
590|746|TMEM258
591|747|DAGLA
592|750|GAS8-AS1
593|752|FMNL1
594|753|LDLRAD4
595|754|PTTG1IP
596|755|CFAP410
597|757|TMEM50B
598|758|MPPED1
599|759|CA1
600|760|CA2
601|761|CA3
602|762|CA4
603|763|CA5A
604|764|CA5AP1
605|765|CA6
606|766|CA7
607|767|CA8
608|768|CA9
609|770|CA11
610|771|CA12
611|773|CACNA1A
612|774|CACNA1B
613|775|CACNA1C
614|776|CACNA1D
615|777|CACNA1E
616|778|CACNA1F
617|779|CACNA1S
618|780|DDR1
619|781|CACNA2D1
620|782|CACNB1
621|783|CACNB2
622|784|CACNB3
623|785|CACNB4
624|786|CACNG1
625|788|SLC25A20
626|789|SLC25A20P1
627|790|CAD
628|793|CALB1
629|794|CALB2
630|795|S100G
631|796|CALCA
632|797|CALCB
633|798|CALCP
634|799|CALCR
635|800|CALD1
636|801|CALM1
637|802|CALM1P1
638|804|CALM1P2
639|805|CALM2
640|806|CALM2P2
641|807|CALM2P3
642|808|CALM3
643|810|CALML3
644|811|CALR
645|813|CALU
646|814|CAMK4
647|815|CAMK2A
648|816|CAMK2B
649|817|CAMK2D
650|818|CAMK2G
651|819|CAMLG
652|820|CAMP
653|821|CANX
654|822|CAPG
655|823|CAPN1
656|824|CAPN2
657|825|CAPN3
658|826|CAPNS1
